,Make and Model,Total.Number.Passengers,Number.Accidents,Percent.Fatal.Injuries,Percent.Serious.Injuries,Percent.Minor.Injuries,Percent.Uninjured
0,BOEING 767-300,1806.0,12,0.0,0.4983388704318937,0.16611295681063123,99.33554817275747
1,AIRBUS INDUSTRIE A320-232,1866.0,11,0.0,0.1607717041800643,0.4287245444801715,99.41050375133976
2,BOEING 777,9469.0,47,0.0,0.28514098637659735,0.2428978772837681,99.47196113633964
3,DE HAVILLAND DHC-8-102,195.0,10,0.0,0.5128205128205128,0.0,99.48717948717949
4,BOEING 737-7H4,2218.0,18,0.0,0.2705139765554554,0.2254283137962128,99.50405770964834
5,BOEING 727-100,522.0,11,0.0,0.19157088122605362,0.19157088122605362,99.61685823754789
6,SHORT BROTHERS SD3-60,535.0,11,0.0,0.3738317757009346,0.0,99.62616822429906
7,BOEING 787,2365.0,12,0.0,0.21141649048625794,0.12684989429175475,99.66173361522199
8,BOEING 757-222,2895.0,21,0.03454231433506045,0.20725388601036268,0.0690846286701209,99.68911917098445
9,BOEING 737-3H4,1120.0,10,0.0,0.17857142857142858,0.08928571428571429,99.73214285714286
